RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity,GpsProvider,BookingID,Market/Regular,BookingID_Date,vehicle_no,Origin_Location,Destination_Location,Org_lat_lon,Des_lat_lon,Data_Ping_time,Planned_ETA,Current_Location,DestinationLocation,actual_eta,Curr_lat,Curr_lon,ontime,delay,OriginLocation_Code,DestinationLocation_Code,trip_start_date,trip_end_date,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,Minimum_kms_to_be_covered_in_a_day,Driver_Name,Driver_MobileNo,customerID,customerNameCode,supplierID,supplierNameCode,Material_Shipped,vehicleType_locations
Tennessee,Netherlands Antilles,SC,Port Jacqueline,22049,"067 Beard Island
Lake Brenda, AL 39120",Lloyd-Brooks,Whitney Perez,baxtermichelle@example.net,2355092497,2023-04-04,Insurance underwriter,responsibility,talk,Key ask general southern.,27.98,24.27,44.68,Erika Dennis,"2439 Paula Knoll
Anthonyshire, PR 38740",996.71,stephenkirk@example.net,001-985-932-5614x3204,Active,2024-01-15,6,72.84,18,Walker PLC,508d1f34-85d5-45c0-942b-5f1c28e65e93,Market,2024-02-08,4G 2G8ZDN,New Shannon,Dustinland,"0.2500905,-105.231569","-77.1740325,-171.888919",2024-03-30 18:44:25.445678,2024-07-02 12:06:21.015740,West Mariahchester,Lake Christina,2024-03-10 06:21:56.729589,-57.2282415,-37.796157,True,17,01448,20564,2024-01-21,2024-03-31,982,Truck,44,Jon Kelley,001-852-619-3902,efe89566-e13e-4689-a9f8-ed88d9fe907c,story,7a66c444-f251-4af7-b8f8-8d3fcd5f97d3,media,right,Garciashire
West Virginia,French Polynesia,GA,South Joanneborough,04099,"USS Allen
FPO AP 74646",Thomas-Kelley,Kevin Holden,shannon91@example.com,(420)552-1782,2023-09-29,Fish farm manager,there,enter,Both let tree sign college.,37.39,8.46,95.21,Derrick Hammond,"58821 Linda View Apt. 293
Patricialand, ID 24539",3603.72,anawalls@example.com,3334127051,Active,2024-01-23,5,54.74,42,Mccoy Inc,4f0d62fb-89d2-4858-b757-15f173008db6,Market,2024-02-18,LTA 673,Kevinstad,Blackmouth,"38.568030,-133.248622","-25.644209,77.792548",2024-03-23 19:06:24.943813,2024-02-21 13:44:41.908191,Morrisview,Schaefertown,2024-02-20 03:58:11.501531,-88.889529,-100.375651,False,35,84967,71937,2024-01-22,2024-06-06,253,Truck,69,Jacob Peterson,(537)678-3078x065,88bb615c-88ac-44ce-894e-ed197a3981ea,development,03a08fd8-6111-4ae5-b8c6-0fedf2b2d072,second,society,Burnsberg
Rhode Island,Malawi,CT,Forbeston,71216,"5484 Roberts Circles
Stonebury, SD 26145","Reed, King and Macdonald",Daniel Ross,harrelllarry@example.net,+1-714-855-8679x78151,2021-06-09,"Therapist, speech and language",road,him,According Congress early indicate.,65.12,13.68,55.32,Shelly Blevins,"19263 Jackson Crossing Suite 427
South Julie, MA 40680",4598.71,epatterson@example.net,+1-805-378-9517x8123,Active,2024-07-03,3,58.56,13,"Gray, Moore and Fitzgerald",1e0e9b7f-30fc-4a15-aae6-9f6f3bd13a23,Market,2024-06-07,P08-35Z,Joycechester,North Anneshire,"-48.103975,63.981814","-83.8543335,-99.942341",2024-03-12 07:56:58.396386,2024-06-22 21:25:30.200665,South Jessica,Zacharychester,2024-05-10 19:52:01.254999,-2.1392395,-9.435763,False,104,26635,04463,2024-06-07,2024-03-08,673,Truck,4,Paul Stevens,001-631-522-2321x3562,5521bbd2-f89c-48bf-88e1-36e2afa3b501,late,2d5f85a3-581f-49d9-8d38-5820e24a8180,place,already,Joneshaven
Vermont,Bangladesh,NJ,West Calvin,68502,"1930 Allen Ridge
Danielleton, VT 13698","Strickland, Wiley and Parks",Lauren Davis,andrewjohnson@example.org,753.220.7830x62156,2024-05-25,Civil Service administrator,woman,process,Tv against sport often various change.,69.83,31.14,63.25,Mr. Jeffrey Taylor Jr.,"33576 Tanya Row
South Austinmouth, MT 52459",4251.51,joseph63@example.com,891-278-1137x76296,Active,2024-02-03,7,46.77,49,Marshall Inc,ce8d5dfb-563f-4469-ae12-ef4a044a96bf,Market,2024-06-22,O73-80W,Christinastad,North Angela,"-28.5698795,34.945853","-65.0530865,-116.128476",2024-01-04 05:13:09.439915,2024-04-15 22:52:10.452325,Port Anthonyton,Cynthiashire,2024-06-29 08:39:29.341033,-39.9218235,-162.476179,True,115,29845,05369,2024-06-26,2024-02-17,877,Truck,20,Justin Johnston,001-574-792-3927,8baddb5b-066f-4883-9f39-89df9ee823cb,build,5757a598-4899-4422-8525-5a068e54d85a,most,only,Deanshire
Kentucky,Guam,NY,New Scott,42555,"1095 Nicole Wall
Lake Ashleyborough, AL 82865","Young, Perry and Patterson",Marcus Williams,leemichelle@example.com,7216132210,2023-07-10,Press sub,deep,whether,Since indicate radio research light.,52.38,8.29,54.46,Michael Douglas,"84809 Carlos Passage
West Eugeneville, LA 32101",1766.78,bmurphy@example.net,+1-231-459-0140x6648,Inactive,2024-02-02,8,94.61,21,Williams LLC,27524395-a641-4fb8-a47c-08f241bab14f,Regular,2024-06-03,075-YCM,Newtonland,East Lindabury,"-82.9631085,146.941203","-87.997033,61.852779",2024-06-19 19:22:20.229187,2024-01-22 17:40:19.767612,Rochaside,Port Edward,2024-05-09 05:26:33.560517,-84.799921,58.821265,True,61,18756,18857,2024-01-17,2024-04-05,786,Truck,16,Diane Parsons,+1-526-370-4974x94293,8976961b-bf67-4ade-8a63-ac2cc8c8392a,too,ccf767dd-5b0b-4398-8da3-3c350e3600b2,wait,class,Briannaberg
Nebraska,Djibouti,MH,Melissaborough,61276,"304 Cheryl Prairie
South Ray, AK 97311","Lara, Ball and Cole",Amanda Nelson,hailey47@example.com,843.701.7305x668,2024-03-04,Information systems manager,poor,line,Garden interview role.,29.31,18.81,112.97,Matthew Price,"3883 Sonia Parkways Apt. 291
Port Hector, ID 30757",4140.88,clinetodd@example.com,+1-314-483-6106x2845,Active,2024-04-10,8,25.82,59,Herrera-Meyer,74d0215c-5faf-4ac7-be80-615c5880ad44,Regular,2024-07-16,219T5,New Alyssa,Jonathanborough,"68.924855,124.175213","64.9798635,65.856471",2024-07-20 22:26:40.985459,2024-05-31 23:59:02.827030,Port Nicholas,Coletown,2024-05-13 04:44:33.002441,-53.848376,-101.428513,False,104,01358,95777,2024-01-23,2024-01-16,596,Van,96,Megan Solomon,2943179432,96a2e676-9818-46b6-b0a6-527604042649,what,a0d2ff10-ab0c-44e8-8870-0498b1790cfe,mean,finally,New Cindystad
North Carolina,Christmas Island,AR,North Shelby,82463,"10920 Woods Mill Apt. 400
Shannonton, MN 09821",Garcia-Lambert,Alice Sullivan,qlopez@example.com,429.836.6734x8711,2024-03-20,"Engineer, drilling",door,newspaper,Land general wife his avoid above.,39.03,23.13,78.61,Vanessa Bowen,"0761 Renee Walks
Port Randall, CO 96779",4014.2,crystalhardy@example.org,5459036897,Inactive,2024-06-11,10,42.18,76,"Chandler, Williams and Peterson",1a7051ae-21e8-4392-8844-a82bbf216c92,Market,2024-07-19,490200,Port Ann,Gabrielhaven,"-10.5184665,-21.429788","-66.4209565,158.656218",2024-01-27 02:00:40.571430,2024-05-15 13:02:05.933019,Mccallside,Scottside,2024-02-01 17:06:46.692237,58.647567,118.198280,False,50,83433,73177,2024-02-17,2024-07-13,15,Truck,2,Tracy Brown,(554)639-1698x43065,a4917a3e-5bf8-4828-8e5d-35a5031adf0d,above,a1a81281-6c43-4e51-997c-47fe745ea0b4,next,during,Port Johnnyfurt
Arkansas,Iraq,MA,East Noah,86992,"423 Wallace Via
North Joshua, IL 05658",Macdonald Ltd,Maria Hanson MD,novakjeremy@example.net,624-419-6742,2022-07-22,Health visitor,everybody,beyond,Near along single under else manager lawyer.,96.56,23.62,34.9,Amanda Delgado,"6032 William Underpass
Port Heatherside, LA 21391",2764.77,kevin65@example.net,539-630-2348,Active,2024-04-29,6,90.96,6,Ross Ltd,a7333398-752a-4a5b-ad27-3711e51c9619,Market,2024-06-14,266TGL,Brittanyside,New Claudia,"73.6205815,-176.172242","84.203360,-6.362402",2024-05-28 23:20:42.291110,2024-02-05 12:45:07.207791,Port Lisahaven,Jonathanfurt,2024-04-01 13:57:02.701934,18.427189,-125.344760,True,59,83836,81951,2024-05-16,2024-07-11,569,Truck,82,Derrick Schroeder,625.291.3125x02001,e44e2bdb-b3dd-4ef1-bbc1-35d9605eb5eb,marriage,f9d86e3a-df58-4887-b467-789a1ba85258,owner,fact,East Jose
Washington,Guatemala,LA,Lisaborough,96597,"829 Kristen Islands Apt. 955
Hendrickstown, WY 97532",Reed-Cooper,Jerry Bender,jjones@example.com,(413)744-1553,2021-02-03,"Biochemist, clinical",change,reduce,Foreign laugh few coach task program.,81.73,32.27,146.34,Patricia Griffith,"574 Christopher Views
North Natashachester, MT 53602",3962.45,qpatton@example.net,429.959.7779x64006,Inactive,2024-07-22,2,49.02,87,Smith-Mcguire,43057532-52e0-4a80-b261-9620d861c5c5,Market,2024-02-04,EM8 2202,West Johnmouth,South Kristinview,"-3.8191745,52.634517","27.342888,-5.686464",2024-06-02 11:22:12.506835,2024-02-24 00:57:31.995428,Robleston,Lopezmouth,2024-06-20 00:43:26.448107,-86.448035,43.094121,False,84,34831,15042,2024-03-12,2024-06-30,929,Truck,62,Stephanie Burgess,+1-337-353-9051,6650d24c-06d6-4a0f-90b6-abf5d4b55f22,receive,c2c1fcfd-2c1c-4a2b-b031-53baed3ea457,same,course,Castilloton
Minnesota,Costa Rica,MO,Scottburgh,24495,"97478 Johnson Islands Apt. 007
Rivasburgh, AR 13066",Bell-Elliott,Andrea Thompson,wcoleman@example.net,811.813.1890,2023-08-29,Multimedia programmer,while,debate,Whose book control enough different notice.,28.99,39.35,105.36,Edward Collins,"59299 Ashley Plaza
West Antonio, FM 50436",3791.06,charlesolson@example.net,001-483-210-1164x18090,Inactive,2024-05-28,2,59.32,65,Bradshaw-Wilson,af79b4ca-c81f-4b96-89bc-47d6b895b7db,Market,2024-04-11,30K N04,East Diamondberg,Lake Ericberg,"31.6234585,104.325422","-53.3983365,-64.330049",2024-07-12 21:04:13.269558,2024-07-15 20:47:04.438752,Brianamouth,Paulland,2024-05-27 00:13:45.917804,19.5779715,-10.527421,True,20,15849,15927,2024-03-08,2024-04-08,870,Van,74,Laura Ho,696-418-4362x45761,3ff0f00d-9818-428d-803d-6335cabd5e84,risk,91cb2246-861b-4bbe-82c6-907a79d0b8d0,draw,step,Gouldfurt
Hawaii,Fiji,ME,East Mirandashire,11831,"331 Preston Hills Apt. 662
East Adamstad, TN 40084","Morris, Pena and Macdonald",Karen Knox,steven80@example.com,+1-603-542-1435x804,2021-03-05,Camera operator,total,by,With list that he son all.,91.39,14.81,89.15,Angelica Petty,"315 Michelle Corner
Hartview, NM 90493",1661.07,debrathompson@example.net,3448054499,Active,2024-06-20,10,11.7,15,Harmon-Hawkins,f6cdd8b3-3537-4719-aaff-c404ee6b9858,Market,2024-03-02,6CZ N77,Alejandrofort,North Thomasburgh,"-88.4385145,172.809684","81.798331,-26.109650",2024-01-15 21:48:36.243144,2024-07-04 15:51:20.306834,West Antoniomouth,Scotttown,2024-06-27 21:49:44.750550,-10.581647,-143.827562,False,49,18835,03467,2024-05-02,2024-02-24,742,Van,86,Timothy Smith,+1-436-456-0744x596,5b242bd1-25ac-4c78-a134-31a551169a0c,trip,c1f5bd32-7438-402b-883b-955dcfd7d3a6,rate,back,North Nathan
Arizona,Aruba,VT,New Sara,32166,"922 Callahan Ranch Suite 814
Tanyatown, AL 34363","Jones, Dillon and Soto",Sarah Vazquez,tcortez@example.org,296.317.1480,2023-09-18,Financial planner,must,claim,Quality technology machine experience.,93.36,37.9,112.18,David Middleton,"PSC 5851, Box 1211
APO AE 50191",1893.19,danielrobinson@example.com,+1-748-985-5877x454,Active,2024-01-26,1,85.18,44,"Davis, Marks and Hale",b567e5d6-e04f-45f2-8dc2-de93458c5e4e,Market,2024-05-24,639 6GX,Lisaland,East Danielleview,"-67.161286,69.679239","40.952614,114.916329",2024-04-15 21:24:46.223233,2024-04-02 02:42:14.490142,Lake Erin,Contrerasfurt,2024-02-10 13:44:23.554885,-30.422865,117.364897,True,9,53463,84173,2024-01-12,2024-05-02,20,Truck,89,Christopher Espinoza,(392)663-2074x306,4108bc97-ca08-4117-a2fd-2aa1f609e437,plan,4a57179d-6a5a-447a-8f33-a6e8fcc18b44,its,wrong,Robertsside
Tennessee,Qatar,AZ,Sarahville,52504,"05552 Donald Heights
Lake Ricky, KY 75937",Campbell-Sanchez,Kevin Cherry,amiller@example.com,726-449-7644,2021-05-21,"Surveyor, minerals",special,be,Never try machine wrong remember.,74.31,44.15,70.67,Troy Barton,"USNS Phillips
FPO AA 56498",4836.5,ehamilton@example.net,224-521-1229,Active,2024-01-06,10,41.15,54,Hoffman-Gregory,ad466027-d04d-499b-8590-24fafdd850d3,Market,2024-07-10,98A•525,South Charles,East Beth,"-30.410139,154.963194","21.7901285,-41.778300",2024-02-15 06:56:00.528940,2024-04-09 22:15:13.935309,Donnaburgh,Wrightside,2024-07-18 23:54:24.109858,-56.549568,-62.806769,True,85,03221,74424,2024-02-09,2024-05-02,440,Van,41,John Faulkner,001-437-859-8897x370,1e85f05f-0618-4e02-aed2-589e63eb68ef,professor,144e229b-665d-44e0-a66d-8f60f3c9b329,term,soldier,New John
Virginia,Philippines,MH,South Jessica,89858,"4603 Grant Square Suite 997
Terryport, CT 19439","Kennedy, Taylor and Sanders",April Harris,bjones@example.net,001-635-568-7875x18741,2024-02-21,Nutritional therapist,consider,color,Fill than wife bar soon.,18.17,41.92,135.98,Keith Morrison,"43141 Sheila Glens Apt. 512
East Jill, AR 81842",522.81,jbecker@example.net,801.934.0898x90419,Inactive,2024-05-03,10,87.32,72,"Meyers, Miller and Dixon",4a4139a4-794c-4c41-9f8e-471d000be507,Market,2024-02-15,503-NRX,Colemantown,North Brandon,"-87.030951,-32.285397","-77.353901,-138.265243",2024-03-15 07:42:38.271998,2024-06-20 11:43:44.004679,Port Shelly,New Craig,2024-01-19 08:50:41.417157,50.206778,117.255335,False,98,33395,27094,2024-07-04,2024-04-03,467,Bike,76,Isabella Lopez,438.439.9847x38117,995fa85b-8930-4cb0-9167-f40f8c595e4a,say,cdec886f-3198-49bc-9add-6929302737b4,right,art,Josephshire
Mississippi,Guernsey,VA,Kimberlyside,31310,"838 Finley Way
Swansonfort, VT 17064","Wilson, Wright and Kennedy",Kimberly Young,deborah19@example.org,324.932.8322x707,2023-12-24,Multimedia programmer,hotel,mother,Participant themselves special memory.,15.88,38.44,22.51,Ryan Clarke,"7644 Farmer Radial
Amberburgh, KS 79336",4140.0,awhite@example.com,+1-297-818-8480x94824,Active,2024-07-05,4,43.48,74,Blevins Ltd,1f84bbf0-23c7-4588-a935-ba6eb7588d75,Market,2024-01-26,SY-1453,South Barbara,North Nancy,"-17.7791255,92.813428","81.9440265,125.099994",2024-06-20 07:47:56.741149,2024-06-18 00:29:09.058826,Mooreville,South Rebeccatown,2024-01-29 06:06:58.361678,26.3799785,-126.379584,False,112,18154,73481,2024-01-21,2024-07-19,359,Van,98,Brandon Davis,863.434.3009,4963b884-f2d8-446b-a992-11bf2a3b5389,fish,721bb3bb-20f0-4fad-9dbe-694f4a694c49,stuff,possible,Deanton
Kansas,New Caledonia,CT,Jonesbury,14433,"Unit 7181 Box 3018
DPO AE 78930",Hill and Sons,Christopher Andrews,hamiltonmichael@example.com,683-205-1987x916,2023-03-09,"Psychologist, clinical",provide,indicate,Role true daughter officer state natural without.,67.23,39.2,48.3,Jeffery Cunningham,"451 Cassidy Summit
Ninaton, MS 81308",2565.64,ronaldanderson@example.net,(586)338-1393,Active,2024-03-20,2,88.38,50,Woods PLC,094482d9-bca6-42ad-9bba-a8649a0c7658,Regular,2024-01-05,Y29-02O,Johnstonville,New Anthonychester,"-19.459239,28.212375","76.2318715,-89.406861",2024-01-12 23:24:42.497636,2024-02-22 12:02:24.225387,Deborahmouth,Robertchester,2024-03-02 04:19:24.794121,67.6383965,-54.033952,True,8,84734,55083,2024-06-22,2024-05-01,708,Van,49,Lisa Harris,2845127036,1d0842c1-db3f-4dc3-bdb0-9779c825713e,bill,6c482a29-8563-4fdd-8435-7e569a05eb6f,class,campaign,Port Williamborough
